Student_ID,Gender,Study_Hours,Attendance,Past_Exam_Scores,Final_Exam_Score,Pass,Pass_numeric
S425,Female,34,86.01012908,51,58,Fail,0
S462,Male,18,81.16662755,99,56,Fail,0
S168,Male,10,73.83097421,64,50,Fail,0
S306,Male,12,93.17590703,66,52,Fail,0
S394,Female,10,67.25960724,96,64,Pass,1
S220,Male,23,85.68912274,72,55,Fail,0
S400,Male,37,88.98793874,74,64,Pass,1
S353,Male,14,94.87152049,74,63,Pass,1
S017,Female,31,87.8540601,88,65,Pass,1
S250,Male,38,55.14580154,97,58,Fail,0
S347,Male,27,88.26781405,64,67,Pass,1
S275,Male,12,62.80077659,66,50,Fail,0
S032,Male,38,65.38886199,93,67,Pass,1
S317,Male,16,51.69395801,96,51,Fail,0
S182,Male,28,79.69415488,66,50,Fail,0
S128,Male,25,73.69849707,84,57,Fail,0
S075,Male,24,70.58306072,98,57,Fail,0
S245,Male,38,57.15639928,80,54,Fail,0
S061,Male,31,53.31179889,98,67,Pass,1
S131,Female,22,73.97910509,91,57,Fail,0
S200,Male,27,96.64690335,65,63,Pass,1
S107,Female,28,76.5632877,53,50,Fail,0
S062,Male,28,52.29306332,78,50,Fail,0
S328,Male,38,76.75348595,70,64,Pass,1
S280,Female,39,89.50423186,67,64,Pass,1
S211,Male,10,91.25663383,85,63,Pass,1
S101,Male,37,79.86390411,73,70,Pass,1
S161,Male,25,50.26500032,64,50,Fail,0
S244,Male,20,88.92859695,89,61,Pass,1
S486,Female,19,87.95179228,100,64,Pass,1
S336,Female,35,73.41159142,52,50,Fail,0
S032,Male,38,65.38886199,93,67,Pass,1
S266,Female,32,97.95373973,69,58,Fail,0
S032,Male,38,65.38886199,93,67,Pass,1
S409,Female,21,84.94229266,90,63,Pass,1
S399,Female,34,98.72736326,94,66,Pass,1
S307,Female,21,96.14801159,84,65,Pass,1
S244,Male,20,88.92859695,89,61,Pass,1
S169,Male,39,91.92912794,87,73,Pass,1
S353,Male,14,94.87152049,74,63,Pass,1
S367,Female,13,94.37302413,69,62,Pass,1
S129,Female,34,67.75521516,69,52,Fail,0
S485,Male,11,81.94746927,94,53,Fail,0
S037,Female,27,79.49779486,78,59,Fail,0
S100,Male,27,54.22585038,95,56,Fail,0
S132,Male,30,79.20997424,84,65,Pass,1
S054,Female,28,64.89797258,67,51,Fail,0
S374,Female,16,98.13246593,66,51,Fail,0
S367,Female,13,94.37302413,69,62,Pass,1
S063,Male,34,81.04028422,93,69,Pass,1
S269,Male,21,71.17984312,99,59,Fail,0
S210,Male,12,89.97685655,91,57,Fail,0
S385,Male,37,82.14627818,60,64,Pass,1
S105,Female,26,61.80582666,74,50,Fail,0
S497,Male,10,99.96767498,55,59,Fail,0
S465,Female,31,67.57700806,96,62,Pass,1
S170,Female,39,60.25387801,57,50,Fail,0
S199,Male,21,70.42591465,68,50,Fail,0
S183,Female,35,68.46152408,99,67,Pass,1
S142,Male,21,74.91238489,96,61,Pass,1
S215,Male,20,95.39330652,54,54,Fail,0
S066,Female,38,78.98249672,96,71,Pass,1
S347,Male,27,88.26781405,64,67,Pass,1
S437,Female,25,88.54556885,87,61,Pass,1
S447,Male,33,95.77568386,89,69,Pass,1
S281,Female,29,51.15113024,99,50,Fail,0
S360,Male,31,77.58612976,99,66,Pass,1
S355,Female,28,90.03748857,78,67,Pass,1
S235,Female,11,84.68588037,88,67,Pass,1
S370,Male,28,90.26574837,74,64,Pass,1
S427,Male,24,57.00092693,82,53,Fail,0
S205,Female,38,86.07982754,90,72,Pass,1
S310,Female,36,95.92273625,88,64,Pass,1
S228,Female,35,76.59287398,67,62,Pass,1
S352,Male,38,63.61509274,95,58,Fail,0
S297,Female,37,61.36978104,100,66,Pass,1
S417,Male,30,84.15919282,77,61,Pass,1
S272,Female,22,95.59262044,66,50,Fail,0
S443,Male,25,88.54929628,83,56,Fail,0
S313,Female,30,95.63747314,78,61,Pass,1
S500,Female,26,65.64274283,71,52,Fail,0
S409,Female,21,84.94229266,90,63,Pass,1
S235,Female,11,84.68588037,88,67,Pass,1
S303,Male,25,80.18607659,83,67,Pass,1
S228,Female,35,76.59287398,67,62,Pass,1
S363,Male,16,75.27539396,78,57,Fail,0
S064,Male,35,67.37067041,65,56,Fail,0
S453,Female,13,56.75006387,58,50,Fail,0
S102,Female,19,99.31284979,60,60,Pass,1
S005,Male,12,78.45407346,97,53,Fail,0
S103,Female,39,76.8295323,62,68,Pass,1
S296,Female,16,65.5722132,81,50,Fail,0
S320,Female,19,63.87935863,71,50,Fail,0
S343,Male,22,76.38238651,74,50,Fail,0
S188,Male,13,84.22857739,100,65,Pass,1
S171,Female,14,98.39970333,54,55,Fail,0
S288,Male,26,92.0219816,61,59,Fail,0
S174,Female,19,86.81235918,67,54,Fail,0
S456,Male,35,76.99213895,81,65,Pass,1
S380,Male,39,81.66203875,97,66,Pass,1
S203,Male,10,68.96142925,82,58,Fail,0
S339,Female,38,91.82824066,64,61,Pass,1
S329,Female,20,59.22314357,96,64,Pass,1
S334,Male,18,89.9891011,68,56,Fail,0
S098,Female,25,50.12975122,55,50,Fail,0
S135,Male,38,79.32677173,66,57,Fail,0
S355,Female,28,90.03748857,78,67,Pass,1
S212,Male,10,59.32024934,76,50,Fail,0
S303,Male,25,80.18607659,83,67,Pass,1
S172,Male,32,85.54762394,97,64,Pass,1
S134,Male,25,77.8871133,67,50,Fail,0
S483,Male,24,97.90853965,62,53,Fail,0
S176,Female,14,85.36150478,86,57,Fail,0
S307,Female,21,96.14801159,84,65,Pass,1
S004,Male,10,91.45821104,100,59,Fail,0
S109,Female,35,53.11706813,69,54,Fail,0
S198,Female,33,87.29872628,73,72,Pass,1
S407,Female,15,75.62288279,100,54,Fail,0
S183,Female,35,68.46152408,99,67,Pass,1
S472,Female,37,50.11696953,71,55,Fail,0
S442,Female,19,54.51684803,64,50,Fail,0
S149,Male,38,92.54087589,60,64,Pass,1
S118,Female,21,69.85819163,90,50,Fail,0
S358,Female,22,93.349688,76,60,Pass,1
S492,Male,14,84.65876057,78,50,Fail,0
S301,Male,35,60.27899042,83,62,Pass,1
S473,Male,25,98.38496941,75,57,Fail,0
S307,Female,21,96.14801159,84,65,Pass,1
S046,Female,22,80.40439248,93,55,Fail,0
